OrderID,Customer Id,Product,Region,OrderDate,Quantity,UnitPrice,Total Sales/ revenue,Average sales
1001,Cus1278,Shirt,North,1/31/2023,5,20,100,326.56355
1002,Cus1022,Shoes,South,2/28/2023,10,50,500,308.69653
1003,Cus1064,Hat,East,3/31/2023,7,15,105,158.81215
1004,Cus1327,Socks,West,4/30/2023,3,5,15,121.82278
1005,Cus1309,Jacket,North,5/31/2023,2,60,120,139.93952
1006,Cus1141,Gloves,South,6/30/2023,8,25,200,200.06739
1007,Cus1199,Shirt,East,7/31/2023,12,40,480,326.71602
1008,Cus1385,Shoes,West,8/31/2023,4,15,60,308.60020
1009,Cus1410,Hat,North,9/30/2023,7,10,70,158.83920
1010,Cus1458,Socks,South,10/31/2023,9,30,270,121.89481
1011,Cus1233,Jacket,East,11/30/2023,6,35,210,139.95293
1012,Cus1234,Gloves,West,12/31/2023,5,20,100,200.06743
1013,Cus1138,Shirt,North,1/31/2024,8,50,400,326.61279
1014,Cus1489,Shoes,South,2/29/2024,10,60,600,308.72544
1015,Cus1462,Hat,East,3/31/2024,11,10,110,158.88386
1016,Cus1341,Socks,West,4/30/2024,4,20,80,121.79487
1017,Cus1069,Jacket,North,5/31/2024,3,30,90,139.90579
1018,Cus1288,Gloves,South,6/30/2024,12,25,300,200.13495
1019,Cus1093,Shoes,East,7/31/2024,5,15,75,308.57863
1020,Cus1259,Hat,West,8/31/2024,7,50,350,158.90845
1001,Cus1117,Shirt,North,1/31/2023,5,20,100,326.56334
1002,Cus1237,Shoes,South,2/28/2023,10,50,500,308.69642
1003,Cus1154,Hat,East,3/31/2023,7,15,105,158.81228
1004,Cus1147,Socks,West,4/30/2023,3,5,15,121.82309
1005,Cus1152,Jacket,North,5/31/2023,2,60,120,139.93939
1006,Cus1417,Gloves,South,6/30/2023,8,25,200,200.06752
1007,Cus1294,Shirt,East,7/31/2023,12,40,480,326.71612
1008,Cus1131,Shoes,West,8/31/2023,4,15,60,308.59990
1009,Cus1205,Hat,North,9/30/2023,7,10,70,158.83938
1010,Cus1415,Socks,South,10/31/2023,9,30,270,121.89527
1011,Cus1054,Jacket,East,11/30/2023,6,35,210,139.95283
1012,Cus1032,Gloves,West,12/31/2023,5,20,100,200.06757
1013,Cus1451,Shirt,North,1/31/2024,8,50,400,326.61269
1014,Cus1322,Shoes,South,2/29/2024,10,60,600,308.72539
1015,Cus1046,Hat,East,3/31/2024,11,10,110,158.88413
1016,Cus1308,Socks,West,4/30/2024,4,20,80,121.79513
1017,Cus1176,Jacket,North,5/31/2024,3,30,90,139.90560
1018,Cus1069,Gloves,South,6/30/2024,12,25,300,200.13523
1019,Cus1405,Shoes,East,7/31/2024,5,15,75,308.57828
1020,Cus1491,Hat,West,8/31/2024,7,50,350,158.90877
1001,Cus1456,Shirt,North,1/31/2023,5,20,100,326.56313
1002,Cus1256,Shoes,South,2/28/2023,10,50,500,308.69631
1003,Cus1381,Hat,East,3/31/2023,7,15,105,158.81241
1004,Cus1135,Socks,West,4/30/2023,3,5,15,121.82341
1005,Cus1160,Jacket,North,5/31/2023,2,60,120,139.93927
1006,Cus1107,Gloves,South,6/30/2023,8,25,200,200.06766
