BASIC SUBSCRIPTION,,,,PREMIUM SUBSCRIPTION,,,,STANDARD SUBSCRIPTION,,,,TOTAL NUMBER OF CUSTOMERS AND TOTAL REVENUE,,,,,,,,,,,,,,,,,,,,,,,
Subscription Type,Sum of Revenue,,,Subscription Type,Sum of Revenue,,,Subscription Type,Sum of Revenue,,,Region, Sum of CustomerID , Sum of Revenue ,,,SUBSCRIPTION TYPE BY CUSTOMER ID,,,,,,,,,SUBSCRIPTION END BY CUSTOMER ID,,,,IDENTIFICATION OF THE MOST POPULAR SUBSCRIPTION TYPE,,,,,
Alex,"3,377,675",,,Premium,"16,899,064",,,Standard,"16,864,376",,,East," 1,790,776 "," 16,958,763 ",,,Subscription Type,Count of CustomerID,,,,,,,,Subscription Type,Sum of Revenue,,,Subscription Type,Count of CustomerID,,,,
Basic,"3,377,675",,,Ella,"3,346,887",,,Anna,"3,398,288",,,North," 1,762,549 "," 16,817,972 ",,,Basic,16921,,,,,,,,Basic,"33,776,735",,,Basic,16921,,,,
Chris,"3,351,225",,,Eva,"3,384,539",,,Grace,"3,385,349",,,South," 1,773,724 "," 16,899,064 ",,,Premium,8446,,,,,,,,Premium,"16,899,064",,,Premium,8446,,,,
Basic,"3,351,225",,,Jane,"3,395,374",,,Maria,"3,326,162",,,West," 1,785,348 "," 16,864,376 ",,,Standard,8420,,,,,,,,Standard,"16,864,376",,,Standard,8420,,,,
Dan,"3,354,858",,,Sophia,"3,414,995",,,Nina,"3,399,895",,,Grand Total," 7,112,397 "," 67,540,175 ",,,Grand Total,33787,,,,,,,,Grand Total,"67,540,175",,,Grand Total,33787,,,,
Basic,"3,354,858",,,Zoe,"3,357,269",,,Sara,"3,354,682",,,,,,,,,,,,,SUBSCRIPTION END BY CUSTOMER ID,,,,,,,,,,,,,
James,"3,345,833",,,Grand Total,"16,899,064",,,Grand Total,"16,864,376",,,,,,,,,,,,,Subscription Type,Count of CustomerID,,,,,,,,,,,,
Basic,"3,345,833",,,,,,,,,,,,,,,,SUBSCRIPTION START BY CUSTOMER ID,,,,,Jan,3385,,,,,,,,,,,,
John,"3,378,897",,,,,,,,,,,,,,,,Subscription Type,Count of CustomerID,,,,Feb,3376,,,,,,,,,,,,
Basic,"3,378,897",,,,,,,,,,,,,,,,Jan,3385,,,,Mar,3376,,,SUBSCRIPTION TYPE PER CUSTOMER ID BY REGION,,,,,,,,,
Liam,"3,437,444",,,,,,,,,,,,,,,,Feb,3376,,,,Apr,3349,,,Count of CustomerID,Region,,,,,,AVERAGE OF THE SUBSCRIPTION DURATION,,
Basic,"3,437,444",,,,,,,,,,,,,,,,Mar,3376,,,,May,3363,,,Subscription Type,Basic,Premium,Standard,Grand Total,,,Customer id,Average of Subscription duration,
Mike,"3,427,436",,,,,,,,,,,,,,,,Apr,3349,,,,Jun,3378,,,East,8488,,,8488,,,201,365,
Basic,"3,427,436",,,,,,,,,,,,,,,,May,3363,,,,Jul,3394,,,North,8433,,,8433,,,202,365,
Paul,"3,361,350",,,,,,,,,,,,,,,,Jun,3378,,,,Aug,3371,,,South,,8446,,8446,,,203,365,
Basic,"3,361,350",,,,,,,,,,,,,,,,Jul,3394,,,,Sep,1685,,,West,,,8420,8420,,,204,365,
Rob,"3,376,796",,,,,,,,,,,,,,,,Aug,3371,,,,Oct,1692,,,Grand Total,16921,8446,8420,33787,,,205,365,
Basic,"3,376,796",,,,,,,,,,,,,,,,Sep,1685,,,,Nov,1718,,,,,,,,,,206,365,
Tom,"3,365,221",,,,,,,,,,,,,,,,Oct,1692,,,,Dec,1700,,,,,,,,,,207,365,
Basic,"3,365,221",,,,,,,,,,,,,,,,Nov,1718,,,,Grand Total,33787,,,,,,,,,,208,365,
Grand Total,"33,776,735",,,,,,,,,,,,,,,,Dec,1700,,,,,,,,,,,,,,,209,365,
,,,,,,,,,,,,,,,,,Grand Total,33787,,,,,,,,,,,,,,,210,365,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,211,365,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,212,365,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,213,365,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,214,366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,215,366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,216,366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218,366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,219,366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,220,366,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Grand Total,365.3498387,
